Job Title,Company Name,Location,Job Type,Experience Level,Posting Date,Requirements,Link
Web Designer - Digital Trading & Creative,Alshaya -,"Nasr City, Cairo, Egypt",Full TimeHybrid,Not specified,12 hours ago,Not specified,https://wuzzuf.net/jobs/p/r74b8od6myoo-web-designer-digital-trading-creative-alshaya-cairo-egypt
Technical Sales Engineer,Belt and road -,"Cairo, Egypt",Full TimeFreelance / ProjectShift BasedHybrid,Not specified,17 hours ago,Not specified,https://wuzzuf.net/jobs/p/o6echo4ycmki-technical-sales-engineer-belt-and-road-cairo-egypt
Quality engineer,Haier Electric Egypt  -,"10th of Ramadan City, Sharqia, Egypt",Full TimeOn-site,Not specified,17 hours ago,Not specified,https://wuzzuf.net/jobs/p/drbon0lczgcz-quality-engineer-haier-electric-egypt-sharqia-egypt
Group Cost Manager,Block Gemini -,"Cairo, Egypt",Full TimeRemote,Not specified,19 hours ago,Not specified,https://wuzzuf.net/jobs/p/3kwogvnadwgj-group-cost-manager-block-gemini-cairo-egypt
Validation Section Head,Pharco Corporation -,"Ameria, Alexandria, Egypt",Full TimeOn-site,Not specified,19 hours ago,Not specified,https://wuzzuf.net/jobs/p/6vh4m9o0qk66-validation-section-head-pharco-corporation-alexandria-egypt
Technical Sales Engineer,Geeks Store -,"Nasr City, Cairo, Egypt",Full TimeOn-site,Not specified,20 hours ago,Not specified,https://wuzzuf.net/jobs/p/fewpwtoinyzg-technical-sales-engineer-geeks-store-cairo-egypt
Sales Engineer,Steel Tech for importing and exporting  -,"Shubra, Cairo, Egypt",Full TimeOn-site,Not specified,21 hours ago,Not specified,https://wuzzuf.net/jobs/p/xnah9drwh7yo-sales-engineer-steel-tech-for-importing-and-exporting-cairo-egypt
Software Tester - Senior Quality Control/Assurance (QC/QA),Bright Creations -,"Smart Village, Giza, Egypt",Full TimeHybrid,Not specified,1 day ago,Not specified,https://wuzzuf.net/jobs/p/3jmctddstwka-software-tester-senior-quality-controlassurance-qcqa-bright-creations-giza-egypt
Sales Engineer ( Fire Fighting ),Egy-Fire -,"Nasr City, Cairo, Egypt",Full TimeOn-site,Not specified,2 days ago,Not specified,https://wuzzuf.net/jobs/p/ydcid4lbx5o5-sales-engineer-fire-fighting-egy-fire-cairo-egypt
IT Support Senior Engineer,e-finance -,"Smart Village, Giza, Egypt",Full TimeOn-site,Not specified,2 days ago,Not specified,https://wuzzuf.net/jobs/p/i3hng6deay3j-it-support-senior-engineer-e-finance-giza-egypt
Finance Manager,Leeds -,"Smart Village, Giza, Egypt",Full TimeOn-site,Not specified,2 days ago,Not specified,https://wuzzuf.net/jobs/p/yu39kcaku0zk-finance-manager-leeds-giza-egypt
Application Support Engineer,e-finance -,"Giza, Giza, Egypt",Full TimeOn-site,Not specified,2 days ago,Not specified,https://wuzzuf.net/jobs/p/qrrppomhv8xe-application-support-engineer-e-finance-giza-egypt
RAID Developer/Support,Efada Technology -,"6th of October, Giza, Egypt",Full TimeHybrid,Not specified,2 days ago,Not specified,https://wuzzuf.net/jobs/p/l2i49pgyudta-raid-developersupport-efada-technology-giza-egypt
Presales & Technical Office Electrical Engineer (KNX),LSE   -,"Nasr City, Cairo, Egypt",Full TimeOn-site,Not specified,2 days ago,Not specified,https://wuzzuf.net/jobs/p/nejlmsecwrww-presales-technical-office-electrical-engineer-knx-lse-cairo-egypt
Senior Java Developer,Smartly -,"Nasr City, Cairo, Egypt",Full TimeRemote,Not specified,2 days ago,Not specified,https://wuzzuf.net/jobs/p/qepq3ksxvwph-senior-java-developer-smartly-cairo-egypt
Quality Control Manager,fourteen -,"Sheikh Zayed, Giza, Egypt",Full TimeOn-site,Not specified,2 days ago,Not specified,https://wuzzuf.net/jobs/p/euf17yjrmgw5-quality-control-manager-fourteen-giza-egypt
Global Supply Chain Manager,K Line Europe -,"Nasr City, Cairo, Egypt",Full TimeOn-site,Not specified,2 days ago,Not specified,https://wuzzuf.net/jobs/p/x7o3rokb9cim-global-supply-chain-manager-k-line-europe-cairo-egypt
Sales Manager,Ghalioungui  -,"Mokattam, Cairo, Egypt",Full TimeOn-site,Not specified,2 days ago,Not specified,https://wuzzuf.net/jobs/p/vchjvrql2sjd-sales-manager-ghalioungui-cairo-egypt
Deputy Maintenance Manager,Ghalioungui  -,"Mokattam, Cairo, Egypt",Full TimeOn-site,Not specified,2 days ago,Not specified,https://wuzzuf.net/jobs/p/z5wd41e4lun4-deputy-maintenance-manager-ghalioungui-cairo-egypt
Technical Office Engineer,Confidential -,"Giza, Giza, Egypt",Full TimeOn-site,Not specified,2 days ago,Not specified,https://wuzzuf.net/jobs/p/uueutjed23bt-technical-office-engineer-giza-egypt
